Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
Arcanum_T0h_P1_1	Arcanum_T0h_P1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29089917.0	0.0	150.0	42.0	43.46247644621316	150.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass	fail
Arcanum_T0h_P1_2	Arcanum_T0h_P1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29089917.0	0.0	150.0	42.0	51.22576160489011	150.0	pass	pass	warn	pass	fail	warn	pass	pass	warn	pass	pass	fail
Arcanum_T0h_P2_1	Arcanum_T0h_P2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26266491.0	0.0	150.0	43.0	33.317737844888946	150.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass	fail
Arcanum_T0h_P2_2	Arcanum_T0h_P2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26266491.0	0.0	150.0	43.0	42.98837488583486	150.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	pass	fail
Arcanum_T0h_P3_1	Arcanum_T0h_P3_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21384211.0	0.0	150.0	42.0	34.826646181446804	150.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	pass	fail
Arcanum_T0h_P3_2	Arcanum_T0h_P3_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21384211.0	0.0	150.0	42.0	43.248394963647776	150.0	pass	pass	warn	pass	fail	warn	pass	pass	fail	warn	pass	fail
Arcanum_T24h_P1_1	Arcanum_T24h_P1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22182442.0	0.0	150.0	43.0	38.504490926370494	150.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass	fail
Arcanum_T24h_P1_2	Arcanum_T24h_P1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	22182442.0	0.0	150.0	43.0	47.823276661466224	150.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass	fail
Arcanum_T24h_P2_1	Arcanum_T24h_P2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18319645.0	0.0	150.0	42.0	40.82278391997855	150.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	fail	warn	fail
Arcanum_T24h_P2_2	Arcanum_T24h_P2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18319645.0	0.0	150.0	42.0	52.52132061103936	150.0	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	warn	fail
