Sample	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-total_sequences
Arcanum_T0h_P1_1	56.53752355378684	42.0	150.0	25.0	29089917.0
Arcanum_T0h_P1_2	48.77423839510989	42.0	150.0	16.666666666666664	29089917.0
Arcanum_T0h_P2_1	66.68226215511106	43.0	150.0	25.0	26266491.0
Arcanum_T0h_P2_2	57.01162511416514	43.0	150.0	25.0	26266491.0
Arcanum_T0h_P3_1	65.1733538185532	42.0	150.0	25.0	21384211.0
Arcanum_T0h_P3_2	56.751605036352224	42.0	150.0	25.0	21384211.0
Arcanum_T24h_P1_1	61.495509073629506	43.0	150.0	25.0	22182442.0
Arcanum_T24h_P1_2	52.176723338533776	43.0	150.0	25.0	22182442.0
Arcanum_T24h_P2_1	59.17721608002145	42.0	150.0	33.33333333333333	18319645.0
Arcanum_T24h_P2_2	47.47867938896064	42.0	150.0	16.666666666666664	18319645.0
Arcanum_T24h_P3_1	66.50187474569668	42.0	150.0	33.33333333333333	17475044.0
Arcanum_T24h_P3_2	56.662839060516035	42.0	150.0	41.66666666666667	17475044.0
Arcanum_T8h_P1_1	61.68871817306659	43.0	150.0	33.33333333333333	15972044.0
Arcanum_T8h_P1_2	51.78742449672246	43.0	150.0	25.0	15972044.0
Arcanum_T8h_P2_1	67.03518237551339	43.0	150.0	25.0	22743577.0
Arcanum_T8h_P2_2	57.48253310332038	43.0	150.0	25.0	22743577.0
Arcanum_T8h_P3_1	53.674279968834995	42.0	150.0	25.0	24376199.0
Arcanum_T8h_P3_2	43.48402655231888	42.0	150.0	16.666666666666664	24376199.0
Slyc_T0h_P1_1	47.02975664506683	42.0	150.0	16.666666666666664	19747489.0
Slyc_T0h_P1_2	37.99097539012335	43.0	150.0	16.666666666666664	19747489.0
Slyc_T0h_P2_1	60.14618413726763	43.0	150.0	25.0	22362185.0
Slyc_T0h_P2_2	50.370112235145484	43.0	150.0	25.0	22362185.0
Slyc_T0h_P3_1	66.17266005550036	43.0	150.0	33.33333333333333	19820182.0
Slyc_T0h_P3_2	56.75098007651403	43.0	150.0	25.0	19820182.0
Slyc_T24h_P1_1	56.65965627511542	43.0	150.0	25.0	22287906.0
Slyc_T24h_P1_2	46.95204515865123	43.0	150.0	16.666666666666664	22287906.0
Slyc_T24h_P2_1	56.82532410246981	42.0	150.0	25.0	22870482.0
Slyc_T24h_P2_2	48.6523032544548	42.0	150.0	16.666666666666664	22870482.0
Slyc_T24h_P3_1	51.06666201453912	42.0	150.0	25.0	17646884.0
Slyc_T24h_P3_2	41.26458387594184	42.0	150.0	16.666666666666664	17646884.0
Slyc_T8h_P1_1	54.2076340041639	42.0	150.0	25.0	27214292.0
Slyc_T8h_P1_2	46.61993528255488	42.0	150.0	16.666666666666664	27214292.0
Slyc_T8h_P2_1	58.43522808281785	42.0	150.0	25.0	21491639.0
Slyc_T8h_P2_2	49.237898667495685	42.0	150.0	16.666666666666664	21491639.0
Slyc_T8h_P3_1	65.5865156474031	42.0	150.0	25.0	23286553.0
Slyc_T8h_P3_2	55.70437555676155	42.0	150.0	25.0	23286553.0
