lib	Map	MapProp	UnMap	UnMapProp
Arcanum_T0h_P1	24279751.5	83.4644921812599	4810165.5	16.5355078187401
Arcanum_T0h_P2	21081800	80.2611966706935	5184691	19.7388033293065
Arcanum_T0h_P3	17018334.5	79.5836446806478	4365876.5	20.4163553193522
Arcanum_T24h_P1	16854250	75.9801378044852	5328192	24.0198621955148
Arcanum_T24h_P2	13632938.5	74.4170451992929	4686706.5	25.5829548007071
Arcanum_T24h_P3	12342941	70.6318164349114	5132103	29.3681835650886
Arcanum_T8h_P1	11778361	73.7436047634229	4193683	26.2563952365771
Arcanum_T8h_P2	17429609.5	76.635304552138	5313967.5	23.364695447862
Arcanum_T8h_P3	19873215	81.5271281630085	4502984	18.4728718369915
Slyc_T0h_P1	18806445	95.2346143856568	941044	4.76538561434316
Slyc_T0h_P2	20991515	93.8705900161366	1370670	6.12940998386338
Slyc_T0h_P3	17206025	86.8106306995566	2614157	13.1893693004434
Slyc_T24h_P1	20573825	92.3093672415883	1714081	7.69063275841167
Slyc_T24h_P2	21338835	93.3029526880981	1531647	6.69704731190185
Slyc_T24h_P3	16626853	94.2197670704924	1020031	5.78023292950756
Slyc_T8h_P1	25275030.5	92.8741063702851	1939261.5	7.12589362971485
Slyc_T8h_P2	19973235.5	92.9349106412964	1518403.5	7.06508935870363
Slyc_T8h_P3	21090644.5	90.5700577496377	2195908.5	9.42994225036226
