Type	ID	Accession
Housekeeping genes 	Solyc10g006100.2	Transcription initiation factor TFIID subunit 6
Housekeeping genes 	Solyc07g062920.2	Genomic DNA chromosome 5 TAC clone K19P17
Housekeeping genes 	Solyc01g111780.2	Importin beta-2 subunit
Housekeeping genes 	Solyc06g051420.2	PHD finger family protein
Housekeeping genes 	Solyc12g057120.1	Subunit VIb of cytochrome c oxidase
Housekeeping genes 	Solyc11g005330.1	PKM-1 actin
Differentially expressed genes	Solyc02g080530.2	Peroxidase
Differentially expressed genes	Solyc10g055810.1	Endochitinase (Chitinase)
Differentially expressed genes	Solyc04g009410.2	Proteasome subunit beta type
Differentially expressed genes	Solyc03g044260.2	Ubiquitin-conjugating enzyme E2 I
Differentially expressed genes	Solyc05g056290.2	biotin carboxylase carrier bccp1
Differentially expressed genes	Solyc12g036160.1	Multidrug resistance ABC transporter  
