lib	type	counts
1	S._arc_0h_P1	Mapped	22033786
2	S._arc_0h_P2	Mapped	20348563
3	S._arc_0h_P3	Mapped	16631551
4	S._arc_24h_P1	Mapped	16643630
5	S._arc_24h_P2	Mapped	13541011
6	S._arc_24h_P3	Mapped	12594188
7	S._arc_8h_P1	Mapped	11729954
8	S._arc_8h_P2	Mapped	17123803
9	S._arc_8h_P3	Mapped	19065546
10	S._lyc_0h_P1	Mapped	15924548
11	S._lyc_0h_P2	Mapped	17691304
12	S._lyc_0h_P3	Mapped	14999510
13	S._lyc_24h_P1	Mapped	17542036
14	S._lyc_24h_P2	Mapped	17969171
15	S._lyc_24h_P3	Mapped	14206971
16	S._lyc_8h_P1	Mapped	21507938
17	S._lyc_8h_P2	Mapped	16818959
18	S._lyc_8h_P3	Mapped	18030177
19	S._arc_0h_P1	MappedProp	75.7437224726354
20	S._arc_0h_P2	MappedProp	77.4696665801306
21	S._arc_0h_P3	MappedProp	77.7749106572134
22	S._arc_24h_P1	MappedProp	75.0306481134945
23	S._arc_24h_P2	MappedProp	73.9152478118435
24	S._arc_24h_P3	MappedProp	72.0695638877934
25	S._arc_8h_P1	MappedProp	73.4405314686085
26	S._arc_8h_P2	MappedProp	75.2907205405728
27	S._arc_8h_P3	MappedProp	78.2137772997341
28	S._lyc_0h_P1	MappedProp	80.6408754044628
29	S._lyc_0h_P2	MappedProp	79.1125911890989
30	S._lyc_0h_P3	MappedProp	75.6779629975143
31	S._lyc_24h_P1	MappedProp	78.7065236186836
32	S._lyc_24h_P2	MappedProp	78.5692710805133
33	S._lyc_24h_P3	MappedProp	80.506966555682
34	S._lyc_8h_P1	MappedProp	79.0317749217948
35	S._lyc_8h_P2	MappedProp	78.2581495994791
36	S._lyc_8h_P3	MappedProp	77.4274191633257
37	S._arc_0h_P1	UnMapped	7056131
38	S._arc_0h_P2	UnMapped	5917928
39	S._arc_0h_P3	UnMapped	4752660
40	S._arc_24h_P1	UnMapped	5538812
41	S._arc_24h_P2	UnMapped	4778634
42	S._arc_24h_P3	UnMapped	4880856
43	S._arc_8h_P1	UnMapped	4242090
44	S._arc_8h_P2	UnMapped	5619774
45	S._arc_8h_P3	UnMapped	5310653
46	S._lyc_0h_P1	UnMapped	3822941
47	S._lyc_0h_P2	UnMapped	4670881
48	S._lyc_0h_P3	UnMapped	4820672
49	S._lyc_24h_P1	UnMapped	4745870
50	S._lyc_24h_P2	UnMapped	4901311
51	S._lyc_24h_P3	UnMapped	3439913
52	S._lyc_8h_P1	UnMapped	5706354
53	S._lyc_8h_P2	UnMapped	4672680
54	S._lyc_8h_P3	UnMapped	5256376
55	S._arc_0h_P1	UnMappedProp	24.2562775273646
56	S._arc_0h_P2	UnMappedProp	22.5303334198694
57	S._arc_0h_P3	UnMappedProp	22.2250893427866
58	S._arc_24h_P1	UnMappedProp	24.9693518865055
59	S._arc_24h_P2	UnMappedProp	26.0847521881565
60	S._arc_24h_P3	UnMappedProp	27.9304361122066
61	S._arc_8h_P1	UnMappedProp	26.5594685313915
62	S._arc_8h_P2	UnMappedProp	24.7092794594272
63	S._arc_8h_P3	UnMappedProp	21.7862227002659
64	S._lyc_0h_P1	UnMappedProp	19.3591245955372
65	S._lyc_0h_P2	UnMappedProp	20.8874088109011
66	S._lyc_0h_P3	UnMappedProp	24.3220370024857
67	S._lyc_24h_P1	UnMappedProp	21.2934763813164
68	S._lyc_24h_P2	UnMappedProp	21.4307289194867
69	S._lyc_24h_P3	UnMappedProp	19.493033444318
70	S._lyc_8h_P1	UnMappedProp	20.9682250782052
71	S._lyc_8h_P2	UnMappedProp	21.7418504005209
72	S._lyc_8h_P3	UnMappedProp	22.5725808366743
