lib	type	counts
..//05.01.kallisto/kallisto/Arcanum_T0h_P1/run_info.json.1	Arcanum_T0h_P1	n_processed	29089917
..//05.01.kallisto/kallisto/Arcanum_T0h_P1/run_info.json.2	Arcanum_T0h_P1	n_pseudoaligned	22033786
..//05.01.kallisto/kallisto/Arcanum_T0h_P2/run_info.json.1	Arcanum_T0h_P2	n_processed	26266491
..//05.01.kallisto/kallisto/Arcanum_T0h_P2/run_info.json.2	Arcanum_T0h_P2	n_pseudoaligned	20348563
..//05.01.kallisto/kallisto/Arcanum_T0h_P3/run_info.json.1	Arcanum_T0h_P3	n_processed	21384211
..//05.01.kallisto/kallisto/Arcanum_T0h_P3/run_info.json.2	Arcanum_T0h_P3	n_pseudoaligned	16631551
..//05.01.kallisto/kallisto/Arcanum_T24h_P1/run_info.json.1	Arcanum_T24h_P1	n_processed	22182442
..//05.01.kallisto/kallisto/Arcanum_T24h_P1/run_info.json.2	Arcanum_T24h_P1	n_pseudoaligned	16643630
..//05.01.kallisto/kallisto/Arcanum_T24h_P2/run_info.json.1	Arcanum_T24h_P2	n_processed	18319645
..//05.01.kallisto/kallisto/Arcanum_T24h_P2/run_info.json.2	Arcanum_T24h_P2	n_pseudoaligned	13541011
..//05.01.kallisto/kallisto/Arcanum_T24h_P3/run_info.json.1	Arcanum_T24h_P3	n_processed	17475044
..//05.01.kallisto/kallisto/Arcanum_T24h_P3/run_info.json.2	Arcanum_T24h_P3	n_pseudoaligned	12594188
..//05.01.kallisto/kallisto/Arcanum_T8h_P1/run_info.json.1	Arcanum_T8h_P1	n_processed	15972044
..//05.01.kallisto/kallisto/Arcanum_T8h_P1/run_info.json.2	Arcanum_T8h_P1	n_pseudoaligned	11729954
..//05.01.kallisto/kallisto/Arcanum_T8h_P2/run_info.json.1	Arcanum_T8h_P2	n_processed	22743577
..//05.01.kallisto/kallisto/Arcanum_T8h_P2/run_info.json.2	Arcanum_T8h_P2	n_pseudoaligned	17123803
..//05.01.kallisto/kallisto/Arcanum_T8h_P3/run_info.json.1	Arcanum_T8h_P3	n_processed	24376199
..//05.01.kallisto/kallisto/Arcanum_T8h_P3/run_info.json.2	Arcanum_T8h_P3	n_pseudoaligned	19065546
..//05.01.kallisto/kallisto/Slyc_T0h_P1/run_info.json.1	Slyc_T0h_P1	n_processed	19747489
..//05.01.kallisto/kallisto/Slyc_T0h_P1/run_info.json.2	Slyc_T0h_P1	n_pseudoaligned	15924548
..//05.01.kallisto/kallisto/Slyc_T0h_P2/run_info.json.1	Slyc_T0h_P2	n_processed	22362185
..//05.01.kallisto/kallisto/Slyc_T0h_P2/run_info.json.2	Slyc_T0h_P2	n_pseudoaligned	17691304
..//05.01.kallisto/kallisto/Slyc_T0h_P3/run_info.json.1	Slyc_T0h_P3	n_processed	19820182
..//05.01.kallisto/kallisto/Slyc_T0h_P3/run_info.json.2	Slyc_T0h_P3	n_pseudoaligned	14999510
..//05.01.kallisto/kallisto/Slyc_T24h_P1/run_info.json.1	Slyc_T24h_P1	n_processed	22287906
..//05.01.kallisto/kallisto/Slyc_T24h_P1/run_info.json.2	Slyc_T24h_P1	n_pseudoaligned	17542036
..//05.01.kallisto/kallisto/Slyc_T24h_P2/run_info.json.1	Slyc_T24h_P2	n_processed	22870482
..//05.01.kallisto/kallisto/Slyc_T24h_P2/run_info.json.2	Slyc_T24h_P2	n_pseudoaligned	17969171
..//05.01.kallisto/kallisto/Slyc_T24h_P3/run_info.json.1	Slyc_T24h_P3	n_processed	17646884
..//05.01.kallisto/kallisto/Slyc_T24h_P3/run_info.json.2	Slyc_T24h_P3	n_pseudoaligned	14206971
..//05.01.kallisto/kallisto/Slyc_T8h_P1/run_info.json.1	Slyc_T8h_P1	n_processed	27214292
..//05.01.kallisto/kallisto/Slyc_T8h_P1/run_info.json.2	Slyc_T8h_P1	n_pseudoaligned	21507938
..//05.01.kallisto/kallisto/Slyc_T8h_P2/run_info.json.1	Slyc_T8h_P2	n_processed	21491639
..//05.01.kallisto/kallisto/Slyc_T8h_P2/run_info.json.2	Slyc_T8h_P2	n_pseudoaligned	16818959
..//05.01.kallisto/kallisto/Slyc_T8h_P3/run_info.json.1	Slyc_T8h_P3	n_processed	23286553
..//05.01.kallisto/kallisto/Slyc_T8h_P3/run_info.json.2	Slyc_T8h_P3	n_pseudoaligned	18030177
